LoanId,MaxDPD
92242234,2
92242302,-2
92242321,-1
92242323,-4
92242401,0
92210799,-6
92210846,4
92210888,-6
92210913,133
92221842,1
92221882,-28
92232571,13
92233239,-1
92233270,-5
92233296,0
92254532,30
92142331,96
92205722,9
92213030,1
92213177,0
92213242,-6
92213271,3
92213277,0
92253449,-1
92253455,78
92213999,1
92214121,0
92214191,-2
92214199,5
92214206,-10
92214333,-12
92220144,-18
92203870,131
92204022,-17
92254917,-10
92255126,-12
92255160,6
92255198,75
92223842,60
92233540,1
92233581,1
92233681,-2
92251476,5
92251531,-14
92251547,-4
92232849,87
92232851,0
92226738,112
92226768,0
92228083,-4
92228144,3
92228247,110
92245375,83
92222382,0
92223844,115
92234454,-2
92234455,-9
92234540,-12
92240292,93
92214178,129
92214294,99
92219609,116
